"id","label","parent","obsolete"
"stage1","Stage 1 – PROJECT","","0"
"stage2","Stage 2 - INTEGRATING","","0"
"stage3","Stage 3 - SCALING","","0"
"stage4","Stage 4 - CLOUD-FIRST/ALL-IN","","0"
